TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
893	-6.6746e-05	-5.28051e-05	-2.42554e-05	-0.474893	0.68699	5200	0.548207
898	-4.30707e-05	-1.64493e-06	-2.34895e-05	0.508919	-0.0744651	5210	-0.855615
903	-6.13905e-05	-3.17178e-06	-2.27236e-05	-0.557941	-0.051065	5410	-0.828257
908	-5.98573e-05	-1.0043e-05	-2.34848e-05	-0.565438	-0.0746162	5020	-0.821366
913	-2.54936e-05	4.4646e-06	3.91249e-05	0.209732	0.477279	5240	-0.851374
919	-9.45746e-06	-1.8441e-05	-3.63527e-06	0.509571	-0.0745604	5190	-0.85671
924	-4.07602e-05	-1.69122e-05	9.46122e-07	-0.509569	0.0265771	5230	-0.858052
929	-4.15197e-05	-2.2255e-05	2.07972e-05	0.194873	0.500077	5220	-0.843766
934	-3.15899e-05	-4.9739e-05	5.52498e-06	-0.514365	0.0268237	5210	-0.855178
939				0.177903	0.52305	5230	-0.831497
940	-2.31882e-05	-9.26821e-06	-3.63764e-06				
945	-3.9983e-05	-2.45374e-05	7.8153e-06	-0.899429	-0.0753134	5310	-0.430424
950	-5.83032e-05	-3.15679e-06	-7.45558e-06	-0.528935	0.0513143	5100	-0.847068
955	-6.05879e-05	1.89852e-05	-1.20359e-05	0.129316	0.546424	5230	-0.827406
960	-4.37847e-05	-1.4611e-05	-1.20347e-05	-0.175808	0.565221	5230	-0.803888
966	-2.54562e-05	2.43293e-05	1.77432e-05	-0.48808	0.075119	5220	-0.867615
971	-3.53792e-05	-3.98076e-05	-1.96703e-05	-0.539902	0.0749484	5210	-0.836365
976	-3.61392e-05	-1.6135e-05	1.70983e-06	0.191127	0.542499	5210	-0.815955
987	-5.67502e-05	-2.91129e-05	4.00017e-06	-0.574825	0.050328	11320	-0.814654
992	-7.04877e-05	-1.61304e-05	1.31618e-05	-0.552602	0.0509872	4710	-0.829849
997	-3.53594e-05	-3.44529e-05	-1.34608e-06	0.657379	0.563326	4870	-0.497131
1002	-5.06259e-05	-1.84159e-05	-2.34876e-05	-0.524207	0.0505636	5200	-0.848098
1007	-4.22223e-05	1.43708e-06	3.23743e-06	0.219525	0.539623	5230	-0.812581
1013	-4.90897e-05	-1.30697e-05	8.58164e-06	-0.643733	-0.512483	5690	-0.566331
1018	-1.39635e-05	3.72876e-06	1.23983e-05	0.508919	-0.0744651	5240	-0.855615
1023	-2.61782e-05	-5.43367e-06	5.52553e-06	-0.551489	-0.0508846	5190	-0.832598
1028	-4.67902e-05	9.83698e-06	2.38491e-05	-0.533292	-0.0515013	4930	-0.844312
1033	-4.22045e-05	-4.97174e-05	2.53737e-05	-0.483829	-0.0749624	5030	-0.871472
1039	-1.92952e-05	2.053e-05	3.22953e-06	-0.542699	0.0272499	5220	-0.837468
1044	-7.12116e-05	6.78489e-06	2.07898e-05	-0.538358	0.0270625	5220	-0.840271
1049	-1.31781e-05	-8.48589e-06	-8.22545e-06	-0.719177	0.448904	5220	-0.52862
1054	3.62034e-06	-1.45931e-05	1.73933e-07	-0.539397	0.0239778	5220	-0.839699
1060	-5.13524e-05	1.74756e-05	-8.22464e-06	0.161631	0.542135	5230	-0.822547
1065	-4.60027e-05	2.20374e-06	-4.48721e-05	-0.884245	-0.074346	5220	-0.460142
1070	-7.50113e-05	-2.52827e-05	-3.0361e-05	0.509571	-0.0745604	5290	-0.85671
1075	-5.97337e-05	-2.90977e-05	1.70927e-06	0.211333	0.432977	5130	-0.875809
1080	-7.65248e-05	4.49948e-06	3.83574e-05	-0.564514	-0.0240135	5240	-0.824845
1086	-4.21595e-05	6.81495e-07	-1.96729e-05	-0.551489	-0.0508846	5200	-0.832598
1091	-1.69596e-05	8.31648e-06	1.80221e-07	-0.541846	-0.0751371	5210	-0.83509
1096	-2.45929e-05	1.51872e-05	-1.27994e-05	-0.524937	0.0503926	5240	-0.849219
1101	-3.22255e-05	-4.58947e-05	1.39246e-05	0.486235	-0.0269852	5200	-0.871474
1107	-5.13099e-05	1.44717e-06	-1.3563e-05	-0.526716	0.051313	5270	-0.848461
1112	-3.75617e-05	9.84559e-06	4.76248e-06	0.691861	0.515918	5180	-0.503358
1117	-3.52675e-05	1.28986e-05	-2.19607e-05	-0.157946	0.543105	5220	-0.824611
1122	-7.26757e-05	-8.22544e-08	2.47368e-06	-0.54259	-0.0272499	5210	-0.837539
1133	-2.76216e-05	-1.15348e-05	2.76691e-05	-0.48386	-0.0269786	10850	-0.872795
1138	-6.12131e-05	5.26344e-06	3.98824e-05	-0.541316	0.0272976	4810	-0.84035
1143	-1.76872e-05	7.55343e-06	2.46668e-06	-0.531098	0.051503	5220	-0.845706
1148	-8.88302e-07	-6.95392e-06	1.2392e-05	0.537623	-0.0749503	5340	-0.837831
1154	-4.8989e-05	-1.22978e-05	3.9922e-06	-0.511985	-0.0265816	5570	-0.856612
1159	-4.21126e-05	4.72569e-05	3.37685e-05	-0.564351	0.0746818	4980	-0.82009
1164	-4.21084e-05	-1.23013e-05	1.69791e-06	-0.511331	0.0744697	4990	-0.854175
1169	-9.86036e-05	-1.84081e-05	1.70729e-07	-0.026688	0.0677406	5220	-0.997344
1174	-5.58374e-05	-8.48067e-06	1.16233e-05	-0.564017	-0.0266531	5210	-0.825302
1180	-5.04873e-05	-3.89879e-06	-9.75602e-06	0.445925	0	5210	-0.89496
1185	-2.37596e-05	-2.37138e-06	1.39136e-05	-0.555946	0.593148	5220	0.580447
1190	-2.45207e-05	1.67165e-05	-5.94371e-07	-0.592842	-0.58418	5430	0.551268
1196	-5.8876e-05	-6.19035e-06	-4.18236e-05	0.526716	0.051313	5450	-0.848461
1200	-1.61138e-05	1.59519e-05	1.00989e-05	-0.825138	0.272813	4810	-0.493535
1206	-7.33751e-05	1.44373e-06	2.84221e-05	0.497224	-0.050807	5540	-0.865657
1211	-2.60304e-05	-2.14616e-05	-3.648e-06	0.499604	-0.050815	5310	-0.86434
1216	-2.14468e-05	2.20923e-06	-3.11338e-05	0.568201	0.0268348	4770	-0.822414
1221	-6.03834e-05	-2.52772e-05	-2.19687e-05	-0.458787	-0.024016	5220	-0.88811
1227	-7.56475e-05	-4.13083e-05	-3.64233e-06	-0.562343	0.0744965	5220	-0.821485
1232	-4.43362e-05	-7.7099e-06	1.16281e-05	0.473941	-0.0514325	5300	-0.878566
1237	-2.82982e-05	-1.68712e-05	1.69715e-05	-0.509571	0.0745604	5150	-0.85671
1242	-3.44034e-05	-6.18043e-06	-6.69885e-06	0.195735	-0.455212	5210	-0.868126
1247	2.43899e-05	-3.13755e-05	-2.50223e-05	0.540412	0.027252	5220	-0.838946
1253	-5.0436e-05	6.03941e-06	-5.16867e-06	-0.551489	-0.0508846	5210	-0.832598
1258	-6.26471e-05	-2.06839e-05	-1.05127e-05	-0.0448524	0.0499219	5220	-0.996049
1263	-6.64583e-05	-4.5114e-05	2.30826e-05	0.484956	-0.024016	5220	-0.874096
1268	-8.70663e-05	-3.88019e-06	-1.6622e-05	-0.509571	0.0745604	5220	-0.85671
1274	-3.81933e-05	-1.07513e-05	-2.88364e-05	0.483211	-0.0748666	5290	-0.870358
1284	-7.63647e-05	-4.89255e-05	2.46118e-05	-0.484183	0.0239777	10840	-0.872703
1289	-1.60402e-05	-2.9833e-05	3.4535e-05	-0.458548	0.0047861	4760	-0.888199
1294	-2.52006e-05	-2.60125e-05	7.80881e-06	-0.552749	-0.0507994	5200	-0.829762
1300	-8.47515e-05	-3.6699e-05	-6.69857e-06	0.147071	0.522467	5220	-0.837864
1305	-5.26758e-05	-1.07361e-05	9.37154e-07	-0.835523	0.247496	5230	-0.487101
1310	-7.40487e-05	1.14066e-05	-2.88047e-06	-0.0880869	-0.0240184	5210	-0.995818
1316	-1.21974e-05	2.05675e-05	5.51838e-06	-0.528792	0.0515046	5660	-0.847161
1321	-3.73918e-05	-1.30288e-05	-2.42589e-05	-0.895568	-0.0518325	5040	-0.44179
1326	-3.58611e-05	-1.8372e-05	-2.04389e-05	-0.550416	0	4970	-0.83482
1331	-5.41816e-05	-2.60052e-05	-1.50923e-05	0.913466	0.0264014	5210	-0.405946
1336	2.32316e-06	-3.05837e-05	-2.87475e-06	-0.497224	-0.050807	5230	-0.865657
1342	-6.48655e-05	-1.9128e-05	3.23358e-06	-0.539257	0.0271077	5620	-0.841675
1347	-1.06502e-05	-6.91002e-06	-7.45582e-06	-0.577919	0.0504092	5260	-0.814493
1352	-2.82098e-05	9.88779e-06	9.34204e-06	-0.567532	0.0748016	5230	-0.819908
1357	-3.20245e-05	-1.37819e-05	2.00302e-05	-0.737933	0.442286	4740	-0.506421
1362	-3.12577e-05	-6.90894e-06	8.5756e-06	-0.562343	0.0744965	5210	-0.821485
1367	-2.51466e-05	8.36185e-06	2.46083e-05	-0.528792	0.0515046	5230	-0.847161
1373	-5.41573e-05	-1.22536e-05	8.57228e-06	-0.103387	0.500749	5210	-0.857426
1378	-2.51386e-05	-3.51576e-05	1.697e-05	-0.551489	-0.0508846	5220	-0.832598
1383	2.22012e-05	-3.59176e-05	1.77318e-05	0.236482	0.518179	5220	-0.821924
1388	-2.43748e-05	-2.31972e-06	-1.51007e-05	-0.554003	0	5210	-0.830481
1394	-2.05549e-05	-2.21706e-05	3.22492e-06	-0.486318	0.0269854	5250	-0.871428
1399	-5.72011e-05	-1.68239e-05	2.76568e-05	-0.7007	-0.549912	5420	-0.453536
1404	-4.49793e-05	6.08296e-06	-1.05213e-05	-0.511985	0.0265816	4990	-0.856612
1409	-2.35967e-05	-2.06403e-05	-1.20472e-05	-0.0996489	-0.545362	5220	-0.832192
1414	9.99993e-06	-3.97259e-05	5.51461e-06	-0.483829	0.0749624	5220	-0.871472
1420	1.38165e-05	-7.83158e-07	3.22354e-06	0.539671	0.0751393	5220	-0.836496
1425	-5.18464e-05	-6.89113e-06	9.32703e-07	-0.788877	-0.279243	5220	-0.544352
1436	-5.10777e-05	-8.41744e-06	7.80416e-06	-0.90681	-0.0508777	11030	-0.418352
1441	-4.2674e-05	6.8535e-06	3.22234e-06	-0.147214	-0.525554	5090	-0.837865
1446	-4.41968e-05	-3.74305e-05	2.84177e-05	-0.579035	0.0505063	5210	-0.811656
1451	-7.85501e-05	-2.97917e-05	9.28665e-07	0.236082	0.517304	5250	-0.820536
1457	-4.8002e-05	-9.93757e-06	-2.42671e-05	0.539671	0.0751393	5200	-0.836496
1462	-2.12745e-05	-3.06503e-06	3.22151e-06	0.0359869	0.0239778	4940	-0.99737
1467	-4.95221e-05	-2.29159e-05	-6.70438e-06	-0.526716	-0.051313	5020	-0.848461
1472	-5.33347e-05	-2.97851e-05	-8.99422e-06	-0.0412161	0.0436779	5230	-0.996499
1477	-7.089e-05	-1.52755e-05	1.54388e-05	0.293838	-0.455391	5300	-0.840391
1482	-6.85924e-05	-3.81792e-05	-1.51029e-05	-0.733121	0.500892	5120	-0.456357
1487	-6.7416e-06	-1.5271e-06	2.07833e-05	0.48386	-0.0269786	5240	-0.872795
